Account Number,Date,Revenue Amount (USD),Type,Fund,Campaign,Appeal,Primary City,Primary State,Primary ZIP Code
250,2023-06-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
726,2023-06-26,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43220
866,2023-06-26,51.43,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685
1334,2023-06-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
2253,2023-06-25,50,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-6916
2041,2023-06-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43221
268,2023-06-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Tavares,FL,32778
9677,2023-06-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Sewickley,PA,15143
8225,2023-06-22,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Dublin,OH,43016
1533,2023-06-20,40,Donation,Unrestricted,Sam's Fans 2023,,,,
163,2023-06-20,22.8,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
786,2023-06-19,,Soft Credit,Unrestricted,Sam's Fans 2023,,Columbus,OH,43214
10381,2023-06-19,50,Donation,Unrestricted,Sam's Fans 2023,,,,
1533,2023-06-19,5474.45,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,,,
8514,2023-06-19,1000,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Grove City,OH,43123
341,2023-06-19,50,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43221-1232
1533,2023-06-19,10,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,,,
8830,2023-06-19,104.3,Donation,Unrestricted,Sam's Fans 2023,,Columbus,OH,43201
165,2023-06-18,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Beavercreek,OH,45434
535,2023-06-18,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43214
8231,2023-06-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
8575,2023-06-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Sammamish,WA,98074
9739,2023-06-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Dublin,OH,43017
9068,2023-06-15,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2023,Donation Form Ask,columbus,OH,43235
2139,2023-06-15,22.8,Recurring Donation Payment,Unrestricted,,,Galena,OH,43021
825,2023-06-15,50,Recurring Donation Payment,Unrestricted,,,Saint James City,FL,33956
383,2023-06-15,100,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
8831,2023-06-14,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
1231,2023-06-12,20,Recurring Donation Payment,Unrestricted,,,Edgewater,FL,32132-6942
752,2023-06-12,102.56,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
9765,2023-06-11,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Galena,OH,43021
1351,2023-06-11,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43221
323,2023-06-11,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Powell,OH,43065
32,2023-06-11,100,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2023-06-11,30,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,2023-06-10,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43214
1117,2023-06-10,25,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
1020,2023-06-09,104.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43201
1578,2023-06-06,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Fairmont,WV,26554
61,2023-06-05,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,West Jefferson,OH,43162-9658
61,2023-06-05,25.87,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
2543,2023-06-03,10.53,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
9738,2023-06-02,1040.18,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43214
373,2023-06-02,260.28,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43221
9736,2023-06-01,73.1,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43220
9146,2023-06-01,40.44,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Cincinnati,OH,45202
222,2023-06-01,500,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43209
1041,2023-06-01,2500,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,St. James City,FL,33956
8677,2023-06-01,25.87,Recurring Donation Payment,Unrestricted,,,Mount Vernon,OH,43050
2544,2023-06-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2023-06-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2023-06-01,5,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2023-06-01,15.64,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2023-06-01,20,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
8234,2023-05-31,260.28,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Cincinnati,OH,45243-1035
1533,2023-05-30,162.29,Donation,Unrestricted,Sam's Fans 2023,,,,
1533,2023-05-30,73.71,Donation,Unrestricted,Sam's Fans 2023,,,,
10443,2023-05-30,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,DUBLIN,OH,43016
9735,2023-05-30,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43235
2139,2023-05-30,260.28,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Galena,OH,43021
250,2023-05-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
866,2023-05-26,51.43,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685
1334,2023-05-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
726,2023-05-25,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43220
2253,2023-05-25,50,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-6916
2041,2023-05-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43221
268,2023-05-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Tavares,FL,32778
9677,2023-05-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Sewickley,PA,15143
1389,2023-05-23,500,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Beavercreek,OH,45434
1771,2023-05-23,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43220-2805
9185,2023-05-23,285.79,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43215
32,2023-05-23,1000,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,St. James City,FL,33956
181,2023-05-23,250,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,DUBLIN,OH,43017
9838,2023-05-23,2500,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Slippery Rock,PA,16057
8225,2023-05-22,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Dublin,OH,43016
163,2023-05-20,22.8,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
165,2023-05-18,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Beavercreek,OH,45434
535,2023-05-18,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43214
10376,2023-05-18,449,Donation,Unrestricted,Sam's Fans 2023,,,,
9671,2023-05-18,5000,Donation,Unrestricted,Sam's Fans 2023,,Columbus,OH,43206
8231,2023-05-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
9109,2023-05-17,260.28,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Powell,OH,43065
2142,2023-05-16,520.24,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Naples,FL,43102
8575,2023-05-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Sammamish,WA,98074
9739,2023-05-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Dublin,OH,43017
9068,2023-05-15,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,columbus,OH,43235
2139,2023-05-15,22.8,Recurring Donation Payment,Unrestricted,,,Galena,OH,43021
825,2023-05-15,50,Recurring Donation Payment,Unrestricted,,,Saint James City,FL,33956
383,2023-05-15,100,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
8831,2023-05-14,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
1231,2023-05-12,20,Recurring Donation Payment,Unrestricted,,,Edgewater,FL,32132-6942
752,2023-05-12,102.56,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
9765,2023-05-11,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Galena,OH,43021
1351,2023-05-11,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43221
323,2023-05-11,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Powell,OH,43065
32,2023-05-11,100,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2023-05-11,30,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,2023-05-10,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43214
1117,2023-05-10,25,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
1689,2023-05-09,520.24,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,Columbus,OH,43215
10374,2023-05-08,260.28,Donation,Unrestricted,Sam's Fans 2023,2023 Sam's Fans 5K,St. James City,FL,33956
1578,2023-05-06,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Fairmont,WV,26554
10275,2023-05-05,40,Donation,Unrestricted,Sam's Fans 2023,,,,
61,2023-05-05,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,West Jefferson,OH,43162-9658
61,2023-05-05,25.87,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
2543,2023-05-03,10.53,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
1533,2023-05-02,480,Donation,Unrestricted,Sam's Fans 2023,,,,
8985,2023-05-02,2500,Donation,Unrestricted,Sam's Fans 2023,,Jackson Center,OH,45334
8985,2023-05-02,7500,Donation,Unrestricted,Sam's Fans 2023,,Jackson Center,OH,45334
9736,2023-05-01,73.1,Recurring Donation Payment,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43220
9640,2023-05-01,500,Donation,Unrestricted,Sam's Fans 2023,,Columbus,OH,43215
8677,2023-05-01,25.87,Recurring Donation Payment,Unrestricted,,,Mount Vernon,OH,43050
2544,2023-05-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2023-05-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2023-05-01,5,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2023-05-01,15.64,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2023-05-01,20,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
10443,2023-04-30,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,DUBLIN,OH,43016
9735,2023-04-30,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43235
10372,2023-04-29,0,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43235
10371,2023-04-29,15.91,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Lewis Center,OH,43035
9678,2023-04-28,26.31,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Toledo,OH,43617
2544,2023-04-28,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10370,2023-04-28,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
250,2023-04-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
10275,2023-04-27,385,Donation,Unrestricted,Sam's Fans 2023,,,,
10108,2023-04-27,5.51,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Wellsotn,OH,45692
1556,2023-04-27,43.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Galena,OH,43021
2544,2023-04-27,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
623,2023-04-27,26.23,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235-1230
723,2023-04-26,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
723,2023-04-26,100,Donation,Unrestricted,Sam's Fans 2023,,Columbus,OH,43214
9688,2023-04-26,5.51,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43235
10369,2023-04-26,205.48,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43224
866,2023-04-26,51.43,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685
1334,2023-04-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
726,2023-04-25,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43220
2544,2023-04-25,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
2253,2023-04-25,50,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-6916
2041,2023-04-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43221
268,2023-04-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Tavares,FL,32778
9671,2023-04-24,0,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43206
480,2023-04-24,2000,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
9677,2023-04-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Sewickley,PA,15143
8225,2023-04-22,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Dublin,OH,43016
61,2023-04-22,52.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,West Jefferson,OH,43162-9658
2544,2023-04-21,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10367,2023-04-21,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Tucson,AZ,85704
10366,2023-04-21,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
61,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,West Jefferson,OH,43162-9658
10365,2023-04-21,281.07,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,,,
530,2023-04-21,21.11,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
709,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
10364,2023-04-21,62.7,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,,,
501,2023-04-21,364.26,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43212
8225,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Dublin,OH,43016
8225,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Dublin,OH,43016
1556,2023-04-21,62.7,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Galena,OH,43021
1556,2023-04-21,62.7,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Galena,OH,43021
10041,2023-04-21,2807.95,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43215
8624,2023-04-21,229.08,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
2139,2023-04-21,676.22,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Galena,OH,43021
10340,2023-04-21,213.48,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10279,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,New Albany,OH,43054
2139,2023-04-21,62.7,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Galena,OH,43021
250,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
2544,2023-04-21,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
1614,2023-04-21,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
2544,2023-04-21,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
2047,2023-04-21,270.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Upper Arlington,OH,43220
10362,2023-04-21,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Lewis center,OH,43035
10361,2023-04-21,540.24,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Aurora,IL,60502
10192,2023-04-21,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,New Albany,OH,43054
752,2023-04-20,93.9,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
1545,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
245,2023-04-20,93.9,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
9738,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
823,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
2544,2023-04-20,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10358,2023-04-20,115.85,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Upper Arlington,OH,43221
10357,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Dublin,OH,43017
726,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
10356,2023-04-20,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43209
10355,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,,,
458,2023-04-20,62.7,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221-3215
10354,2023-04-20,208.28,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Dublin,OH,43017
499,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
10353,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Bowling Green,OH,43402
9889,2023-04-20,21.11,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Hilliard,OH,43026
10352,2023-04-20,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Upper Arlington,OH,43221
1563,2023-04-20,31.5,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Hilliard,OH,43026
723,2023-04-20,52.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
10350,2023-04-20,104.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43215
9796,2023-04-20,2.39,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
10349,2023-04-20,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Dublin,OH,43017
61,2023-04-20,2.39,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,West Jefferson,OH,43162-9658
367,2023-04-20,52.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43214
2544,2023-04-20,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
9736,2023-04-20,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
8927,2023-04-20,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
1850,2023-04-20,52.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Columbus,OH,43235
10277,2023-04-20,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Granville,OH,43023
2544,2023-04-20,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
440,2023-04-20,162.29,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,New Albany,OH,43054
163,2023-04-20,22.8,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
2544,2023-04-20,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
1591,2023-04-20,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Lewis Center,OH,43035
2544,2023-04-19,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10348,2023-04-19,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
2544,2023-04-19,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10347,2023-04-19,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10345,2023-04-19,50,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Pittsburgh,PA,15229
10346,2023-04-19,25,Donation,Unrestricted,Sam's Fans 2023,,Dublin,OH,43016
10344,2023-04-19,52.3,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Darien,CT,06820
2544,2023-04-19,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10343,2023-04-19,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
1566,2023-04-19,156.29,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Darien,CT,06820-3204
2544,2023-04-19,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10342,2023-04-19,27.31,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
10341,2023-04-19,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43214
9716,2023-04-19,500,Donation,Unrestricted,Sam's Fans 2022 Be Bold,2023 Mat Kearney Concert,Hot Springs Village,AR,71909
767,2023-04-18,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
165,2023-04-18,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Beavercreek,OH,45434
535,2023-04-18,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2021 The Rainbow After the Storm,BTJ Website,Columbus,OH,43214
297,2023-04-18,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
10340,2023-04-18,108.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10339,2023-04-18,216.28,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43221
10338,2023-04-18,54.3,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Cleves,OH,45002
8231,2023-04-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
1702,2023-04-18,105.24,Donation,Unrestricted,Sam's Fans 2023,Audrey and Sam Run Boston,Williamsburg,VA,23185
2306,2023-04-17,260.28,Donation,Unrestricted,Sam's Fans 2022 Be Bold,2023 Mat Kearney Concert,Columbus,OH,43206
146,2023-04-17,324.27,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43220
10337,2023-04-17,106.3,Donation,Unrestricted,Sam's Fans 2023,Audrey and Sam Run Boston,Western Springs,IL,60558
2544,2023-04-17,,Soft Credit,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10490,2023-04-17,162.29,Donation,Unrestricted,Sam's Fans 2023,2023 Mat Kearney Concert,Columbus,OH,43235
10335,2023-04-17,26.81,Donation,Unrestricted,Sam's Fans 2023,Audrey and Sam Run Boston,Cave Creek,AZ,85331
10334,2023-04-17,73.1,Donation,Unrestricted,Sam's Fans 2022 Be Bold,Donation Form Ask,Alexandria,VA,22305
10333,2023-04-17,42.7,Donation,Unrestricted,Sam's Fans 2023,Audrey and Sam Run Boston,APO,AE,09012
